,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,target
55,5407,2275,1,8,272,723,2756,6,5,2238,3412,2618,1848,4219,1,3,1473,1124,280,1,Anomaly
56,8534,4,2,0,17,0,5265,9,0,5451,0,4,0,0,0,0,0,0,0,2,Anomaly
57,6765,3277,1,5,137,25,1220,9,5,794,873,3805,3621,2753,1,3,1647,1000,4,1,Anomaly
58,7187,1728,1,4,211,20,3017,9,5,2646,1985,1937,2043,1677,1,3,1006,793,5,1,Anomaly
59,8348,3,2,0,17,0,5266,9,0,5476,0,3,0,0,0,0,0,0,0,2,Anomaly
60,5304,9,3,0,8,0,5260,9,0,5374,0,9,0,0,1,0,0,0,0,5,Normal
61,1712,3,2,0,17,0,5266,9,0,5476,0,3,0,0,0,0,0,0,0,2,Anomaly
62,6839,5156,0,15,1364,357,367,9,4,3425,61,4060,4622,3838,0,0,0,0,29,0,Anomaly
63,3578,0,2,0,1,0,0,0,0,0,0,5065,0,0,0,0,0,0,0,2,Normal
64,2787,1071,1,29,786,891,4390,3,1,4296,4780,675,671,365,1,3,76,23,324,0,Normal
65,7678,7,2,0,17,0,5262,9,0,5406,0,7,0,0,0,0,0,0,0,2,Anomaly
66,3604,3537,0,2,344,3,268,6,5,1346,51,4644,9,0,1,3,3429,3163,3,3,Normal
67,8212,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
68,3525,2227,1,4,703,20,2321,9,5,3188,1264,2562,2724,1958,1,3,2636,966,5,1,Normal
69,8099,3,2,0,17,0,5266,9,0,5476,0,3,0,0,0,0,0,0,0,2,Anomaly
70,9775,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
71,6777,2315,1,5,268,275,2413,6,5,2187,2761,5003,4700,4687,1,3,1866,1029,117,1,Normal
72,6735,2911,1,4,137,20,1316,9,5,991,651,3398,3838,3061,1,3,3063,2948,5,1,Anomaly
73,1953,851,1,35,827,937,4968,3,1,4890,5106,307,358,751,1,3,185,42,369,0,Normal
74,6067,4725,1,7,350,125,315,9,5,419,580,4680,4547,3852,1,3,3329,3133,40,1,Normal
75,5134,0,2,0,1,0,0,0,0,0,0,5089,0,0,0,0,0,0,0,2,Normal
76,7278,3,2,0,48,0,5266,9,0,5532,0,3,0,0,0,0,0,0,0,2,Anomaly
77,9325,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
78,1186,3650,1,12,580,772,2269,3,1,2286,3327,3320,2339,4404,1,3,49,17,306,0,Normal
79,3507,3989,1,9,281,753,1180,6,5,965,3096,4292,3024,4365,1,3,2554,2350,310,1,Anomaly
80,6267,3420,1,4,137,20,872,9,5,716,381,3569,4270,3307,1,3,2173,1587,5,1,Normal
81,4802,11,2,0,17,0,5258,9,0,5377,0,11,0,0,0,0,0,0,0,2,Anomaly
82,2225,366,0,3,154,22,4239,3,1,4699,3781,733,685,259,0,0,0,0,38,0,Normal
83,8486,3095,1,5,211,25,1395,9,5,1272,997,3375,3369,2583,1,3,2445,1522,4,1,Anomaly
84,9736,3,2,0,17,0,5266,9,0,5476,0,3,0,0,0,0,0,0,0,2,Anomaly
85,9058,24,2,0,17,0,5245,9,0,5338,0,24,0,0,0,0,0,0,0,2,Anomaly
86,5211,10,2,0,387,0,5259,9,0,5574,0,10,0,0,0,0,0,0,0,2,Normal
87,7636,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
88,930,5257,0,101,1387,825,1909,9,5,3430,632,2501,4033,2603,1,3,0,0,3,0,Anomaly
89,5930,2743,1,4,540,20,1498,9,5,2581,775,2914,3536,2534,1,3,3033,2292,5,1,Anomaly
90,1973,158,0,2,22,10,4527,3,1,4108,3900,11,8,0,0,0,0,0,41,0,Normal
91,8297,10,2,0,17,0,5259,9,0,5385,0,10,0,0,0,0,0,0,0,2,Anomaly
92,2479,733,1,28,786,893,5013,3,1,4937,5032,250,323,148,1,3,56,26,335,0,Normal
93,3708,2804,1,4,137,20,1440,9,5,1090,746,3018,3723,3002,1,3,2342,1835,5,1,Normal
94,6162,2544,1,4,979,20,2357,6,5,3474,932,2319,3531,2972,1,3,2291,2566,5,1,Anomaly
95,4602,4,2,0,17,0,5265,9,0,5451,0,4,0,0,0,0,0,0,0,2,Anomaly
96,9015,10,2,0,17,0,5259,9,0,5385,0,10,0,0,0,0,0,0,0,2,Anomaly
97,1654,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
98,9454,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
99,9570,6,2,0,17,0,5263,9,0,5417,0,6,0,0,0,0,0,0,0,2,Anomaly
100,3784,2560,1,4,705,20,1711,9,5,3062,915,2871,3436,2759,1,3,2797,2572,5,1,Anomaly
101,8818,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
102,5957,3971,1,5,834,25,871,9,5,2852,455,3942,4229,3401,1,3,845,324,4,1,Anomaly
103,3488,2307,1,5,280,219,2429,6,5,2236,2706,2660,2465,2140,1,3,1789,2420,96,1,Normal
104,4425,7,2,0,17,0,5262,9,0,5406,0,7,0,0,0,0,0,0,0,2,Anomaly
105,7134,3517,1,5,152,25,983,9,5,715,681,4003,3920,3007,1,3,1194,513,4,1,Anomaly
106,6521,3163,1,7,174,69,1558,9,5,1003,1857,3649,2787,1982,1,3,2982,2297,25,1,Anomaly
107,3077,3034,1,20,757,822,3571,3,1,3047,3550,1544,1487,4159,1,3,232,80,283,0,Normal
108,7045,0,2,0,1,0,0,0,0,0,0,5091,0,0,0,0,0,0,0,2,Normal
109,2262,741,1,12,548,353,4284,3,1,4477,4079,819,784,428,1,3,26,21,51,0,Normal
110,1117,5,2,0,17,0,5264,9,0,5435,0,5,0,0,0,0,0,0,0,2,Anomaly
111,1531,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
112,890,314,1,5,74,429,4893,3,1,4605,4732,507,284,156,1,3,110,35,176,0,Normal
113,7920,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
114,4954,2552,1,4,279,20,1726,9,5,1937,925,2942,3738,3338,1,3,412,323,5,1,Anomaly
115,6233,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
116,1217,330,1,7,371,135,4886,3,1,5093,4464,476,313,172,1,3,81,31,42,0,Normal
117,9815,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
118,1052,801,1,24,1228,612,4855,3,1,5321,4408,341,492,241,1,3,56,38,42,0,Normal
119,9890,4,2,0,17,0,5265,9,0,5451,0,4,0,0,0,0,0,0,0,2,Anomaly
120,1587,4927,1,105,1088,1062,3837,3,1,3123,4449,1340,1149,4269,1,3,42,15,503,0,Normal
121,8855,2,2,0,17,0,5267,9,0,5522,0,2,0,0,0,0,0,0,0,2,Anomaly
122,8168,5,2,0,17,0,5264,9,0,5435,0,5,0,0,0,0,0,0,0,2,Anomaly
123,902,4897,1,14,810,604,635,9,5,1591,2077,4404,4168,3113,1,3,3145,3087,98,1,Anomaly
124,1039,3,2,0,17,0,5266,9,0,5476,0,3,0,0,0,0,0,0,0,2,Anomaly
125,5936,3986,1,8,262,75,1355,9,5,950,1470,3643,3396,2809,1,3,2976,2896,17,1,Normal
126,6493,1603,1,4,153,20,3204,9,5,2637,2150,1685,1741,1196,1,3,803,208,5,1,Anomaly
127,5776,4024,1,5,261,202,677,6,5,886,1952,4314,4228,3663,1,3,3148,3078,91,1,Normal
128,4663,4591,1,17,295,877,1215,6,5,497,3464,4592,2717,0,1,3,1296,927,439,1,Anomaly
129,8837,2541,1,9,481,185,2924,9,5,2582,2591,2182,1992,1146,1,3,532,759,31,1,Anomaly
130,1429,170,0,2,28,14,4509,3,1,4271,4040,8,7,0,0,0,0,0,49,0,Normal
131,9794,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
132,3464,4088,1,5,352,95,785,9,5,1145,1409,4085,4243,3380,1,3,2975,2787,50,1,Anomaly
133,3750,2473,1,5,384,92,2441,9,5,2421,2265,2503,2644,1845,1,3,1184,891,50,1,Anomaly
134,5137,3487,1,5,242,25,1021,9,5,1127,716,3955,3758,3124,1,3,3134,2863,4,1,Anomaly
135,3668,1465,1,4,426,20,3363,9,5,3261,2300,1567,1777,1331,1,3,577,753,5,1,Anomaly
136,7602,3,2,0,17,0,5266,9,0,5476,0,3,0,0,0,0,0,0,0,2,Anomaly
137,3258,0,2,0,1,0,0,0,0,0,0,5054,0,0,0,0,0,0,0,2,Normal
138,233,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
139,4821,2752,1,4,235,20,1489,9,5,1626,769,3191,3533,3122,1,3,2853,2615,5,1,Anomaly
140,7681,3058,1,5,257,250,1433,6,5,1518,2502,3539,3066,2250,1,3,3253,2272,108,1,Anomaly
141,1151,1106,1,21,674,790,4123,3,1,3915,4507,942,925,1692,1,3,27,14,243,0,Normal
142,7257,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
143,9044,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
144,1458,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
145,3484,4417,1,7,292,257,494,6,5,672,1823,4577,4269,3405,1,3,1840,1117,80,1,Normal
146,8690,6,2,0,17,0,5263,9,0,5417,0,6,0,0,0,0,0,0,0,2,Anomaly
147,467,5,2,0,48,0,5264,9,0,5482,0,5,0,0,0,0,0,0,0,2,Anomaly
148,8865,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
149,8541,5223,3,0,946,0,34,9,0,110,0,4963,0,0,0,0,0,0,0,5,Anomaly
150,9342,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
151,137,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
152,30,3861,1,7,268,496,963,6,5,1004,2684,4213,3568,2778,1,3,3241,2963,166,1,Anomaly
153,4469,4932,1,27,1361,581,3220,6,5,4187,1945,1503,2908,1806,1,3,1590,1553,22,1,Anomaly
154,382,3913,1,12,558,772,1786,3,1,1946,3218,3966,2587,4506,1,3,35,10,306,0,Normal
155,168,4110,2,0,771,0,1390,9,0,2672,0,2387,0,0,0,0,0,0,0,2,Anomaly
156,7545,4,2,0,48,0,5265,9,0,5504,0,4,0,0,0,0,0,0,0,2,Anomaly
157,8724,2,2,0,17,0,5267,9,0,5522,0,2,0,0,0,0,0,0,0,2,Anomaly
158,607,8,2,0,48,0,5261,9,0,5443,0,8,0,0,0,0,0,0,0,2,Anomaly
159,3048,0,3,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,Normal
160,2510,1167,1,29,764,897,4229,3,1,3949,4723,862,873,1640,1,3,91,4,331,0,Normal
161,6129,2952,1,5,259,224,1548,6,5,1577,2490,3438,3200,2270,1,3,2580,2142,99,1,Normal
162,2814,3998,1,111,1116,1068,4038,3,1,3583,4837,1053,957,2189,1,3,99,28,536,0,Normal
163,7930,3,2,0,17,0,5266,9,0,5476,0,3,0,0,0,0,0,0,0,2,Anomaly
164,2516,1907,1,18,885,600,3756,3,1,3513,3219,1324,1290,657,1,3,117,26,60,0,Normal
165,4284,2931,1,8,255,77,2469,9,5,1619,2036,2561,2317,1515,1,3,1192,332,17,1,Anomaly
166,9046,2370,1,4,389,20,2061,9,5,2478,1105,2730,3412,2791,1,3,1445,2240,5,1,Anomaly
167,7022,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
168,242,6,2,0,48,0,5263,9,0,5466,0,6,0,0,0,0,0,0,0,2,Anomaly
169,9768,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
170,9398,4621,1,14,1095,357,1822,6,5,3390,1937,2935,3285,2645,1,3,916,456,35,1,Anomaly
171,1345,5,2,0,17,0,5264,9,0,5435,0,5,0,0,0,0,0,0,0,2,Anomaly
172,6826,2242,1,5,298,25,2494,9,5,2362,1727,2507,2430,2130,1,3,1406,1251,4,1,Anomaly
173,8206,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
174,4951,8,2,0,37,0,5261,9,0,5427,0,8,0,0,0,0,0,0,0,2,Anomaly
175,3260,2633,1,4,137,20,1613,9,5,1211,848,2932,3516,2922,1,3,2290,1218,5,1,Normal
176,5618,4,2,0,48,0,5265,9,0,5504,0,4,0,0,0,0,0,0,0,2,Anomaly
177,12,4055,1,5,264,282,665,6,5,878,2111,4339,4245,3699,1,3,2405,2383,119,1,Normal
178,5458,5,2,0,487,0,5264,9,0,5672,0,5,0,0,0,0,0,0,0,2,Normal
179,5260,10,2,0,611,0,5259,9,0,5647,0,10,0,0,0,0,0,0,0,2,Normal
180,6815,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
181,9771,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
182,5141,3,2,0,14,0,5266,9,0,5470,0,3,0,0,0,0,0,0,0,2,Normal
183,9492,3,2,0,48,0,5266,9,0,5532,0,3,0,0,0,0,0,0,0,2,Anomaly
184,2622,154,0,2,28,14,4532,3,1,4300,4074,10,8,0,0,0,0,0,49,0,Normal
185,5914,2407,1,4,137,20,2017,9,5,1449,1071,2522,3189,2369,1,3,2213,1669,5,1,Normal
186,8392,2411,1,4,448,20,2012,9,5,2575,1067,2637,3241,2373,1,3,1625,608,5,1,Anomaly
187,4148,4876,1,18,1306,504,2544,6,5,3721,1828,2134,3511,2732,1,3,1863,1658,36,1,Anomaly
188,8118,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
189,2387,753,1,12,548,353,4269,3,1,4436,4004,854,820,418,1,3,39,23,51,0,Normal
190,4465,10,2,0,17,0,5259,9,0,5385,0,10,0,0,0,0,0,0,0,2,Anomaly
191,4955,7,2,0,17,0,5262,9,0,5406,0,7,0,0,0,0,0,0,0,2,Anomaly
192,8003,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
193,855,253,0,3,134,21,4876,3,1,5130,4387,320,29,8,0,0,0,0,36,0,Normal
194,9811,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
195,3369,8,2,0,14,0,5261,9,0,5394,0,8,0,0,0,0,0,0,0,2,Normal
196,1384,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
197,4808,4544,1,13,1003,365,1665,6,5,3162,2041,3169,3238,2008,1,3,2079,1836,44,1,Anomaly
198,2292,568,1,23,689,816,5196,3,1,5146,5041,75,85,545,1,3,167,31,264,0,Normal
199,4035,10,2,0,48,0,5259,9,0,5421,0,10,0,0,0,0,0,0,0,2,Anomaly
200,6000,9,2,0,14,0,5260,9,0,5387,0,9,0,0,0,0,0,0,0,2,Normal
201,6059,2808,1,5,151,25,1714,9,5,1156,1221,3201,3081,2830,1,3,2046,1823,4,1,Anomaly
202,8584,5,2,0,17,0,5264,9,0,5435,0,5,0,0,0,0,0,0,0,2,Anomaly
203,1997,820,1,24,697,838,4702,3,1,4718,4823,573,538,1077,1,3,225,54,288,0,Normal
204,744,2434,1,14,1112,463,3577,6,5,3771,2900,1465,1514,911,1,3,772,1100,50,1,Anomaly
205,3411,2181,1,4,203,20,2395,9,5,2000,1344,2345,2845,1989,1,3,2229,1998,5,1,Normal
206,2778,174,0,2,28,14,4505,3,1,4264,4035,11,9,0,0,0,0,0,49,0,Normal
207,4679,11,2,0,17,0,5258,9,0,5377,0,11,0,0,0,0,0,0,0,2,Anomaly
208,5282,3011,1,4,703,20,1219,9,5,2873,588,3409,3932,3299,1,3,2656,2277,5,1,Normal
209,5739,3499,1,5,137,25,1007,9,5,682,700,4017,3707,3193,1,3,2854,1989,4,1,Normal
210,8980,28,2,0,17,0,5241,9,0,5324,0,28,0,0,0,0,0,0,0,2,Anomaly
211,1737,1212,1,29,764,894,4092,3,1,3857,4604,966,949,1852,1,3,95,33,326,0,Normal
212,6652,4,2,0,48,0,5265,9,0,5504,0,4,0,0,0,0,0,0,0,2,Anomaly
213,2077,506,1,15,642,530,5190,3,1,5205,4600,91,70,538,1,3,185,47,60,0,Normal
214,9009,3564,1,5,470,25,944,9,5,1779,654,4025,3987,3146,1,3,1195,1230,4,1,Anomaly
215,2915,337,1,7,379,136,4867,3,1,5088,4459,467,333,168,1,3,54,21,42,0,Normal
216,5844,1313,0,2,344,3,3031,6,5,3337,762,1788,1,0,1,3,1570,1549,3,3,Normal
217,6312,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
218,6255,2344,1,4,137,20,2131,9,5,1491,1134,2709,2997,2493,1,3,2516,1489,5,1,Normal
219,8106,4987,1,23,430,892,583,6,5,203,3110,4692,3763,4649,1,3,2878,2442,384,1,Anomaly
220,988,8,2,0,14,0,5261,9,0,5394,0,8,0,0,0,0,0,0,0,2,Anomaly
221,7624,4622,1,8,535,679,509,6,5,998,2712,4492,4345,3608,1,3,1662,1019,236,1,Anomaly
222,6019,9,2,0,14,0,5260,9,0,5387,0,9,0,0,0,0,0,0,0,2,Normal
223,6461,3425,1,5,703,25,1072,9,5,2713,763,3954,3785,2870,1,3,1753,1375,4,1,Normal
224,6030,3,2,0,14,0,5266,9,0,5470,0,3,0,0,0,0,0,0,0,2,Anomaly
225,5752,10,3,0,8,0,5259,9,0,5366,0,10,0,0,1,0,0,0,0,5,Normal
226,7335,1,2,0,37,0,5268,9,0,5626,0,1,0,0,0,0,0,0,0,2,Anomaly
227,2879,1097,1,31,797,907,4384,3,1,4216,4806,684,674,1271,1,3,319,35,347,0,Normal
228,1125,3,2,0,17,0,5266,9,0,5476,0,3,0,0,0,0,0,0,0,2,Anomaly
229,3839,1,2,0,48,0,5268,9,0,5653,0,1,0,0,0,0,0,0,0,2,Anomaly
230,7241,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
231,1418,5051,1,102,1079,1060,3582,3,1,2558,3983,1878,1362,4590,1,3,99,31,500,0,Normal
232,8422,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
233,886,160,0,2,28,14,4524,3,1,4288,4063,9,7,0,0,0,0,0,49,0,Normal
234,7653,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
235,1421,618,1,21,674,790,5015,3,1,4943,4861,268,290,734,1,3,143,31,243,0,Normal
236,6525,3319,1,5,260,264,1172,6,5,1354,2430,3739,3671,2918,1,3,1555,642,113,1,Normal
237,7748,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
238,4603,1266,0,2,28,18,2241,6,5,1137,2404,8,8,0,0,0,0,0,79,3,Anomaly
239,9404,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
240,5386,3921,1,5,137,25,745,9,5,523,481,4258,4145,3259,1,3,2064,1464,4,1,Normal
241,7618,5010,1,5,703,25,183,9,5,551,64,4845,4645,4009,1,3,2956,2881,4,1,Anomaly
242,4590,8,2,0,48,0,5261,9,0,5443,0,8,0,0,0,0,0,0,0,2,Anomaly
243,1786,834,1,35,827,937,4998,3,1,4909,5129,276,339,739,1,3,128,23,369,0,Normal
244,9699,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
245,55,3,2,0,48,0,5266,9,0,5532,0,3,0,0,0,0,0,0,0,2,Anomaly
246,3152,9,3,0,8,0,5260,9,0,5374,0,9,0,0,1,0,0,0,0,5,Normal
247,759,706,1,12,548,353,4329,3,1,4524,4155,761,737,402,1,3,8,11,51,0,Normal
248,350,4645,1,13,792,398,1134,6,5,2075,1971,3936,3541,2510,1,3,2600,2421,49,1,Anomaly
249,8926,3143,1,7,423,123,1843,9,5,1996,2060,3052,3054,2268,1,3,1089,1138,39,1,Anomaly
250,4828,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
251,737,2410,1,4,135,20,2013,9,5,1436,1068,2769,2821,2498,1,3,2924,1343,5,1,Anomaly
252,4774,2771,1,5,278,25,1756,9,5,1750,1254,3210,2993,2882,1,3,2717,2562,4,1,Anomaly
253,1925,107,0,2,28,14,4591,3,1,4384,4177,10,7,0,0,0,0,0,49,0,Normal
254,320,8,2,0,48,0,5261,9,0,5443,0,8,0,0,0,0,0,0,0,2,Anomaly
255,4053,4,2,0,17,0,5265,9,0,5451,0,4,0,0,0,0,0,0,0,2,Anomaly
256,9445,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
257,8833,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
258,7255,9,2,0,37,0,5260,9,0,5416,0,9,0,0,0,0,0,0,0,2,Anomaly
259,5227,2,2,0,37,0,5267,9,0,5553,0,2,0,0,0,0,0,0,0,2,Anomaly
260,376,708,1,12,548,353,4326,3,1,4519,4150,765,812,401,1,3,32,22,51,0,Normal
261,8756,10,2,0,17,0,5259,9,0,5385,0,10,0,0,0,0,0,0,0,2,Anomaly
262,982,7,2,0,17,0,5262,9,0,5406,0,7,0,0,0,0,0,0,0,2,Anomaly
263,3556,2697,1,5,703,25,1864,9,5,3000,1306,3020,2956,2227,1,3,1738,657,4,1,Normal
264,838,354,1,9,532,380,5217,3,1,5200,4578,49,171,98,1,3,121,20,80,0,Normal
